source_table,id,session_id,latitude,longitude,type,created_at,name,description,metadata
locations,1474,user_device_92b0b779f6378a6c,44.94455593,-92.88872442,analyzed_location,2025-09-06 21:28:58.579081,Current Location,,"{}"
locations,1473,user_device_4f540b2d260483d4,44.94450862,-92.88880399,analyzed_location,2025-09-06 21:13:55.97398,,,"{}"
locations,1472,user_device_92b0b779f6378a6c,44.94451984,-92.88878127,analyzed_location,2025-09-06 21:01:16.316155,,,"{}"
saved_locations,79,user_device_f2b8eb8ce1f50847,44.94351800,-92.89030000,saved_location,2025-09-06 20:55:35.530654,The Edison,Package#01,"{}"
locations,1471,user_device_f2b8eb8ce1f50847,44.94351800,-92.89030050,analyzed_location,2025-09-06 20:53:27.41264,Current Location,,"{}"
locations,1470,user_device_92b0b779f6378a6c,44.94456972,-92.88870562,analyzed_location,2025-09-06 18:30:10.02543,Current Location,,"{}"
locations,1469,user_device_92b0b779f6378a6c,44.94463792,-92.88867861,analyzed_location,2025-09-06 17:51:23.31384,,,"{}"
locations,1468,user_device_4c8f0d2df1d1a978,44.98844190,-93.31426510,analyzed_location,2025-08-20 22:44:54.402536,Current Location,,"{}"
saved_locations,78,user_device_4c8f0d2df1d1a978,44.98837000,-93.31430600,saved_location,2025-08-20 22:44:40.123305,Willard-Hay,Could benefit from grocery store,"{}"
locations,1467,user_device_4c8f0d2df1d1a978,44.98834710,-93.31425880,analyzed_location,2025-08-20 22:41:51.210575,Current Location,,"{}"
locations,1466,user_device_4c8f0d2df1d1a978,44.98836970,-93.31430610,analyzed_location,2025-08-20 22:39:38.693984,Current Location,,"{}"
locations,1465,user_device_4c8f0d2df1d1a978,44.98840900,-93.31433560,analyzed_location,2025-08-20 22:38:20.772442,Current Location,,"{}"
saved_locations,77,user_device_f2b8eb8ce1f50847,44.98836200,-93.31432700,saved_location,2025-08-20 22:37:26.154285,Upton,Consolidated neighborhood,"{}"
locations,1464,user_device_f2b8eb8ce1f50847,44.98836150,-93.31432690,analyzed_location,2025-08-20 22:36:18.713303,Current Location,,"{}"
locations,1463,user_device_f2b8eb8ce1f50847,44.98836940,-93.31431720,analyzed_location,2025-08-20 22:35:13.199956,Current Location,,"{}"
locations,1462,user_device_f2b8eb8ce1f50847,44.98003730,-93.28943710,analyzed_location,2025-08-18 21:12:13.461369,Current Location,,"{}"
locations,1461,user_device_92b0b779f6378a6c,44.94354490,-92.89030710,analyzed_location,2025-08-16 19:20:00.550807,Current Location,,"{}"
saved_locations,76,user_device_92b0b779f6378a6c,44.94353200,-92.89029200,saved_location,2025-08-16 02:45:26.415199,The Edison,Needs better crossing options for pedestrians trying to shop at Walmart,"{}"
saved_locations,75,user_device_f2b8eb8ce1f50847,44.97748200,-93.26122800,saved_location,2025-08-15 22:14:46.32376,Downtown Friday evening,Car ventric - No off street parking. Lacks separation at street level,"{}"
saved_locations,74,user_device_f2b8eb8ce1f50847,44.97689900,-93.26219200,saved_location,2025-08-15 21:44:26.42337,Boludo,,"{}"
saved_locations,73,user_device_f2b8eb8ce1f50847,44.97437600,-93.26895600,saved_location,2025-08-15 20:31:09.530607,Power plant,,"{}"
saved_locations,72,user_device_f2b8eb8ce1f50847,44.96036600,-93.20384600,saved_location,2025-08-13 13:59:29.562427,I 94 wb,Block inflow from left at construction time when left lanes are blocked,"{}"
saved_locations,71,user_device_f2b8eb8ce1f50847,44.98002600,-93.28943300,saved_location,2025-08-05 20:15:13.934474,IMS,Office 313,"{}"
saved_locations,70,user_device_f2b8eb8ce1f50847,44.98000900,-93.28937200,saved_location,2025-08-04 17:43:59.163766,IMS,Workplace,"{}"
saved_locations,69,user_device_f2b8eb8ce1f50847,44.94354600,-92.89029300,saved_location,2025-08-04 01:01:32.253352,The Edison,pasocon,"{}"
